
한국방송,#genre#
BTN불교TV,http://211.178.72.29:9981/stream/channelid/269576950?profile=pass
BBS 불교방송,http://211.178.72.29:9981/stream/channelid/1300249659?profile=pass
가톨릭평화방송,http://211.178.72.29:9981/stream/channelid/1494402648?profile=pass
STB상생방송,http://211.178.72.29:9981/stream/channelid/1261805215?profile=pass
WBS원음방송,http://211.178.72.29:9981/stream/channelid/1628305863?profile=pass
TJB SBS,http://1.245.74.5:1935/live/tv/.m3u8
TBS,http://tbs.hscdn.com/tbstvweb/tbstv/chunklist_w1331473189.m3u8

중국방송,#genre#
CCTV1FHD,http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226589/index.m3u8
CCTV2HD,http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV3HD,http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8
CCTV4,http://112.17.40.140/PLTV/88888888/224/3221226539/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226171/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
CCTV5HD,http://112.17.40.140/PLTV/88888888/224/3221226400/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226328/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226537/index.m3u8
CCTV5+HD,http://112.17.40.140/PLTV/88888888/224/3221226406/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8
CCTV6HD,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8
CCTV7HD,http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8
CCTV8HD,http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226493/index.m3u8
CCTV9FHD,http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8
CCTV10HD,http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8
CCTV11,http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226560/index.m3u8
CCTV12FHD,http://112.17.40.140/PLTV/88888888/224/3221226167/index.m3u8
CCTV13,http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226417/index.m3u8
CCTV14HD,http://112.17.40.140/PLTV/88888888/224/3221226126/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8
CCTV15,http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8
湖南卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226162/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8
浙江卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226136/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226551/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226474/index.m3u8
北京卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226583/index.m3u8
江苏卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8
东方卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226142/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8
山东卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226144/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226410/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8
天津卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226488/index.m3u8
江西卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226128/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
安徽卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226490/index.m3u8
广东卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226585/index.m3u8
深圳卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226203/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226486/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226543/index.m3u8
黑龙江卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226201/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226492/index.m3u8
湖北卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226197/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226547/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226494/index.m3u8
重庆卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226217/index.m3u8#http://112.17.40.140/PLTV/88888888/224/322122605/index.m3u8
辽宁卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226148/index.m3u8
河南卫视,http://112.17.40.140/PLTV/88888888/224/3221226130/index.m3u8
东南卫视,http://112.17.40.140/PLTV/88888888/224/3221226134/index.m3u8
甘肃卫视,http://112.17.40.140/PLTV/88888888/224/3221226187/index.m3u8
四川卫视,http://112.17.40.140/PLTV/88888888/224/3221226215/index.m3u8
宁夏卫视,http://112.17.40.140/PLTV/88888888/224/3221226209/index.m3u8
广西卫视,http://112.17.40.140/PLTV/88888888/224/3221226211/index.m3u8
山西卫视,http://112.17.40.140/PLTV/88888888/224/3221226114/index.m3u8
陕西卫视,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
吉林卫视,http://112.17.40.140/PLTV/88888888/224/3221226158/index.m3u8#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=25&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
云南卫视,http://112.17.40.140/PLTV/88888888/224/3221226241/index.m3u8
西藏卫视,http://112.17.40.140/PLTV/88888888/224/3221226160/index.m3u8
青海卫视,http://112.17.40.140/PLTV/88888888/224/3221226191/index.m3u8
内蒙古卫视,http://112.17.40.140/PLTV/88888888/224/3221226174/index.m3u8
兵团卫视,http://112.17.40.140/PLTV/88888888/224/3221226186/index.m3u8
旅游卫视,http://112.17.40.140/PLTV/88888888/224/3221226116/index.m3u8
山东教育卫视,http://112.17.40.140/PLTV/88888888/224/3221226652/index.m3u8
凤凰中文HD,http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
凤凰资讯HD,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
音乐台HD,http://112.17.40.140/PLTV/88888888/224/3221226120/index.m3u8
动漫电影HD,http://112.17.40.140/PLTV/88888888/224/3221226178/index.m3u8
蓝光影视1,http://112.17.40.140/PLTV/88888888/224/3221226176/index.m3u8
蓝光影视2,http://112.17.40.140/PLTV/88888888/224/3221226179/index.m3u8
蓝光影视3,http://112.17.40.140/PLTV/88888888/224/3221226181/index.m3u8
蓝光影视4,http://112.17.40.140/PLTV/88888888/224/3221226245/index.m3u8
蓝光影视5,http://112.17.40.140/PLTV/88888888/224/3221226360/index.m3u8
蓝光影视6,http://112.17.40.140/PLTV/88888888/224/3221226479/index.m3u8
蓝光影视7,http://112.17.40.140/PLTV/88888888/224/3221226526/index.m3u8
蓝光影视8,http://112.17.40.140/PLTV/88888888/224/3221226606/index.m3u8
蓝光影视9,http://112.17.40.140/PLTV/88888888/224/3221226608/index.m3u8
蓝光影视10,http://112.17.40.140/PLTV/88888888/224/3221226695/index.m3u8
NewTV东北热剧 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
Newtv精品大剧,http://112.17.40.140/PLTV/88888888/224/3221226392/index.m3u8
Newtv贺岁燃剧,http://112.17.40.140/PLTV/88888888/224/3221226382/index.m3u8
Newtv中国功夫,http://112.17.40.140/PLTV/88888888/224/3221226759/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226386/index.m3u8
Newtv动作电影,http://112.17.40.140/PLTV/88888888/224/3221226747/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226378/index.m3u8
Newtv明星大片,http://112.17.40.140/PLTV/88888888/224/3221226751/index.m3u8
Newtv惊悚悬疑,http://112.17.40.140/PLTV/88888888/224/3221226656/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226517/index.m3u8
Newtv精品电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
Newtv爱情喜剧,http://112.17.40.140/PLTV/88888888/224/3221226660/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226501/index.m3u8
Newtv古装剧场,http://112.17.40.140/PLTV/88888888/224/3221226753/index.m3u8
Newtv精品大剧,http://112.17.40.140/PLTV/88888888/224/3221226668/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226507/index.m3u8
Newtv海外剧场,http://112.17.40.140/PLTV/88888888/224/3221226662/index.m3u8
Newtv家庭剧场,http://112.17.40.140/PLTV/88888888/224/3221226642/index.m3u8
NewTV超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV金牌综艺,http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226749/index.m3u8
Newtv潮妈辣婆,http://112.17.40.140/PLTV/88888888/224/3221226666/index.m3u8
Newtv炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226631/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226817/index.m3u8
Newtv健康有约,http://112.17.40.140/PLTV/88888888/224/3221226757/index.m3u8
Newtv精品记录,http://112.17.40.140/PLTV/88888888/224/3221226763/index.m3u8
Newtv精品体育,http://112.17.40.140/PLTV/88888888/224/3221226819/index.m3u8
Newtv军旅剧场,http://112.17.40.140/PLTV/88888888/224/3221226398/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226682/index.m3u8
Newtv军事评论,http://112.17.40.140/PLTV/88888888/224/3221226658/index.m3u8
Newtv农业致富,http://112.17.40.140/PLTV/88888888/224/3221226664/index.m3u8
Newtv搏击,http://112.17.40.140/PLTV/88888888/224/3221226737/index.m3u8
Newtv电竞,http://112.17.40.140/PLTV/88888888/224/3221226721/index.m3u8
电竞世界,http://112.17.40.140/PLTV/88888888/224/3221226598/index.m3u8
游戏频道,http://112.17.40.140/PLTV/88888888/224/3221226388/index.m3u8
游戏风云,http://112.17.40.140/PLTV/88888888/224/3221226726/index.m3u8
黑莓电竞,http://112.17.40.140/PLTV/88888888/224/3221226724/index.m3u8
黑莓动画,http://112.17.40.140/PLTV/88888888/224/3221226654/index.m3u8
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225523/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226755/index.m3u8
咪咕,http://112.17.40.140/PLTV/88888888/224/3221226756/index.m3u8
百事4K,http://112.17.40.140/PLTV/88888888/224/3221226718/index.m3u8
NBTV1,http://112.17.40.140/PLTV/88888888/224/3221226736/index.m3u8
NBTV2,http://112.17.40.140/PLTV/88888888/224/3221226833/index.m3u8
NBTV3,http://112.17.40.140/PLTV/88888888/224/3221226740/index.m3u8
NBTV4,http://112.17.40.140/PLTV/88888888/224/3221226835/index.m3u8
NBTV5,http://112.17.40.140/PLTV/88888888/224/3221226742/index.m3u8
家有购物,http://112.17.40.140/PLTV/88888888/224/3221226741/index.m3u8
茶频道,http://112.17.40.140/PLTV/88888888/224/3221226744/index.m3u8
哈哈炫动,http://112.17.40.140/PLTV/88888888/224/3221226745/index.m3u8
北京纪实,http://112.17.40.140/PLTV/88888888/224/3221226746/index.m3u8
快乐宠物,http://112.17.40.140/PLTV/88888888/224/3221226748/index.m3u8
3D全息投影,http://112.17.40.140/PLTV/88888888/224/3221226779/index.m3u8
优优宝贝,http://112.17.40.140/PLTV/88888888/224/3221226829/index.m3u8
金鹰纪实,http://112.17.40.140/PLTV/88888888/224/3221226831/index.m3u8
车迷频道,http://112.17.40.140/PLTV/88888888/224/3221226837/index.m3u8
优漫卡通,http://112.17.40.140/PLTV/88888888/224/3221226172/index.m3u8
金鹰卡通,http://112.17.40.140/PLTV/88888888/224/3221226190/index.m3u8
北京卡酷,http://112.17.40.140/PLTV/88888888/224/3221226184/index.m3u8
卡通,http://112.17.40.140/PLTV/88888888/224/3221226461/index.m3u8
CGTN,http://112.17.40.140/PLTV/88888888/224/3221226235/index.m3u8
杭州6,http://112.17.40.140/PLTV/88888888/224/3221226237/index.m3u8
浙江少儿,http://112.17.40.140/PLTV/88888888/224/3221226251/index.m3u8
浙江影视娱乐,http://112.17.40.140/PLTV/88888888/224/3221226273/index.m3u8
浙江钱江,http://112.17.40.140/PLTV/88888888/224/3221226275/index.m3u8
浙江公共新闻,http://112.17.40.140/PLTV/88888888/224/3221226324/index.m3u8
浙江数码时代,http://112.17.40.140/PLTV/88888888/224/3221226638/index.m3u8
浙江经济生活,http://112.17.40.140/PLTV/88888888/224/3221226423/index.m3u8
好易购,http://112.17.40.140/PLTV/88888888/224/3221226425/index.m3u8
3D频道,http://112.17.40.140/PLTV/88888888/224/3221226475/index.m3u8
CCTV高尔夫,网球,http://112.17.40.140/PLTV/88888888/224/3221226402/index.m3u8
体育HD,http://112.17.40.140/PLTV/88888888/224/3221226429/index.m3u8
体育2HD,http://112.17.40.140/PLTV/88888888/224/3221226481/index.m3u8
哈哈炫动,http://112.17.40.140/PLTV/88888888/224/3221226513/index.m3u8
断桥直播,http://112.17.40.140/PLTV/88888888/224/3221226530/index.m3u8
富春江,http://112.17.40.140/PLTV/88888888/224/3221226532/index.m3u8
求索记录FHD,http://112.17.40.140/PLTV/88888888/224/3221226610/index.m3u8
都市剧场,http://112.17.40.140/PLTV/88888888/224/3221226825/index.m3u8
新闻综合,http://112.17.40.140/PLTV/88888888/224/3221226358/index.m3u8
四海钓鱼,http://112.17.40.140/PLTV/88888888/224/3221226533/index.m3u8
华数,http://112.17.40.140/PLTV/88888888/224/3221226326/index.m3u8
房产电视,http://112.17.40.140/PLTV/88888888/224/3221226356/index.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
HTV1,http://112.17.40.140/PLTV/88888888/224/3221226170/index.m3u8
HTV2,http://112.17.40.140/PLTV/88888888/224/3221226212/index.m3u8
HTV3,http://112.17.40.140/PLTV/88888888/224/3221226477/index.m3u8
HTV4,http://112.17.40.140/PLTV/88888888/224/3221226362/index.m3u8
HTV5,http://112.17.40.140/PLTV/88888888/224/3221226354/index.m3u8
HTV6,http://112.17.40.140/PLTV/88888888/224/3221226352/index.m3u8

各省卫视,#genre#
湖南卫视,http://112.17.40.140/PLTV/88888888/224/3221226162/index.m3u8#http://httpdvb.slave.homed.hrtn.net:80/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000153.m3u8#http://ivi.bupt.edu.cn/hls/hunanhd.m3u8#http://ivi.bupt.edu.cn/hls/hunantv.m3u8#http://stream.cdjsxy.cn/hnws/sd/live.m3u8
北京卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8
浙江卫视,http://ali.m.l.cztv.com/channels/lantian/channel01/720p.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
安徽卫视,http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/anhui_2/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/anhui_2/index.m3u8
宁夏卫视,http://cctvalih5ca.v.myalicdn.com/wstv/ningxia_2/index.m3u8
辽宁卫视,http://by4.nty.tv189.cn/tm-liaoninghd-800k.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2/index.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
湖北卫视,http://112.17.40.140/PLTV/88888888/224/3221226197/index.m3u8#http://ivi.bupt.edu.cn/hls/hbtv.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbws.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
深圳卫视FHD,http://112.17.40.140/PLTV/88888888/224/3221226203/index.m3u8
广州影视,http://aplay.gztv.com/sec/yingshi.m3u8
厦门卫视,http://by4.nty.tv189.cn/live/tm-xiamentv-800k.m3u8#http://cstvpull.live.wscdns.com/live/xiamen.flv
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
厦门一套,http://cstvpull.live.wscdns.com/live/xiamen1.flv
海霞卫视,http://by4.nty.tv189.cn/live/tm-haixiatv-800k.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226182/index.m3u8#http://ivi.bupt.edu.cn/hls/tjtv.m3u8
河南卫视,http://cctvalih5ca.v.myalicdn.com/wstv/henan_2/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/henan_2/index.m3u8
吉林卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
重庆卫视,http://112.17.40.140/PLTV/88888888/224/3221226217/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/chongqing_2/index.m3u8
黑龙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226201/index.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/heilongjiang_2/index.m3u8
兵团卫视,http://by4.nty.tv189.cn/live/tm-bingtuantv-800k.m3u8
河北卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hebei_2/index.m3u8
海南卫视,http://by4.nty.tv189.cn/live/tm-traveltv-800k.m3u8
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
陕西卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
东南卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongnan_2/index.m3u8



国际频道,#genre#
全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
日本Japan News 24,http://www.news24.jp/livestream/index.m3u8
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
日本NHK英语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
韩国EBS 第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS 少儿频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
韩国UBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国KOREA YTN,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
韩国KTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国阿里郎WORLDworld,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩国阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
TBS News Bird,http://tbs1.media.ylive.jp/d6d710ed2c204b4cb9ffea55a16a5f40/ap-northeast-1/5690807595001/profile_0/chunklist.m3u8
KOREA YTN Science,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
Luxury World,http://nano.teleservice.su:8080/hls/luxury.m3u8
韩国BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
CPAC,http://bcoveliveios-i.akamaihd.net/hls/live/248519/1242843915001_1/master.m3u8
BabyFirst,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
CGTN 国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN 记录频道,http://live.cgtn.com/1000d/prog_index.m3u8
CGTN 法语频道,http://live.cgtn.com/1000f/prog_index.m3u8
中国环球,http://live.cgtn.com/1000/prog_index.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
朝阳频道,http://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8
越南人民报,http://27.118.16.98:1935/live/truyenhinhnhandan720/chunklist_w2006762604.m3u8
越南人民报,http://vietcago.net/vstv/thnd.m3u8
越南人民报,https://5952e4052a2e8.streamlock.net/live/smil:thienviet.smil/chunklist_w1106175008_b1544100_sleng.m3u8
印度音乐电视,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
法国中国环球,http://live.cgtn.com/1000f/prog_index.m3u8
法国第五世界台,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8
法国24台 (英语),http://f24hls-i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8
法国24台 (法语),http://f24hls-i.akamaihd.net/hls/live/221192/F24_FR_LO_HLS/master_900.m3u8
阿拉伯中国环球,http://live.cgtn.com/1000a/prog_index.m3u8
俄罗斯军事频道,http://serv25.vintera.tv:8081/parad/patriot/playlist.m3u8
俄罗斯中国环球,http://live.cgtn.com/1000r/prog_index.m3u8
俄罗斯俄罗斯一台,http://a787201928-s26881.cdn.ngenix.net/hls/russia_hd/playlist_3.m3u8
俄罗斯HD时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
乌克兰M2 音乐频道,http://live.m2.tv/hls3/stream.m3u8
西班牙皇马足球,http://rmtv24hweblive-lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
西班牙中国环球,http://livees.cgtn.com/1000e/prog_index.m3u8
西班牙盛兴电视台,https://mdslivehls-i.akamaihd.net/hls/live/571648/divinity/bitrate_4.m3u8
西班牙活力电视台,https://mdslivehlsb-i.akamaihd.net/hls/live/623617/energy/bitrate_3.m3u8
西班牙啵嘤卡通台,https://mdslivehlsb-i.akamaihd.net/hls/live/623616/boing/bitrate_3.m3u8
